Time,pt0,pt1,pt2,pt3,pt4,pt5,pt6,pt7,pt8,pt9,pt10,pt11
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,-7.720478664950022e-19,7.111739576129336e-19,0.0,-1.5170684185877973e-18,2.1675732298600813e-19,0.0,1.869238912900252e-18,-3.7943315681638785e-19,0.0,8.668506186701501e-19,2.166783121726345e-19,0.0
0.1,-7.720478664950022e-19,7.111739576129336e-19,0.0,-1.5170684185877973e-18,2.1675732298600813e-19,0.0,1.869238912900252e-18,-3.7943315681638785e-19,0.0,8.668506186701501e-19,2.166783121726345e-19,0.0
0.2,0.0003503573613369081,2.4287787074391718e-05,0.0,0.00035027601920357916,2.4287849008408102e-05,0.0,0.001070988777070605,0.0004909811771137943,0.0,0.0010708277822256119,0.0004909812459892838,0.0
5.0,1.4045642885241272e-06,1.0530613525750999e-08,0.0,1.3996047724072141e-06,1.0530864228751413e-08,0.0,4.438352169072919e-06,1.9411529548482844e-06,0.0,4.427449695816247e-06,1.9411590032903555e-06,0.0
10.0,2.6893704301697474e-07,8.59266388622074e-10,0.0,2.6481110796822133e-07,8.595159102560333e-10,0.0,8.479915554654926e-07,3.666189212125117e-07,0.0,8.389278607032135e-07,3.666208170147914e-07,0.0
15.0,2.0171505220844063e-07,3.6270140591802686e-10,0.0,1.9784269836552568e-07,3.6293792576097385e-10,0.0,6.355206785489384e-07,2.7371375037237763e-07,0.0,6.270150131198225e-07,2.7371485357127106e-07,0.0
20.0,1.8805692845579746e-07,3.17635137368783e-10,0.0,1.8437960649341116e-07,3.1785989642980813e-10,0.0,5.924464310156532e-07,2.550822390624261e-07,0.0,5.843699792782628e-07,2.550829575663219e-07,0.0
22.5,1.8280461306950186e-07,3.062655838849961e-10,0.0,1.7921825047829872e-07,3.0648481218697707e-10,0.0,5.758994237209591e-07,2.4794979943360364e-07,0.0,5.680230996233178e-07,2.4795036077487736e-07,0.0
22.75,0.00038216843997674997,1.3679068646504553e-05,0.0,0.00038210876794609146,1.3679088049347202e-05,0.0,0.0011905489228176706,0.0005327906077087166,0.0,0.001190424583229318,0.0005327906700749772,0.0
23.0,0.0006497575479545765,1.609180017404326e-05,0.0,0.0006495628966989913,1.6091814487903574e-05,0.0,0.0020221818843728723,0.0009016449103107983,0.0,0.0020217087241740897,0.0009016445362133678,0.0
23.25,0.0008135573325452883,1.7444765998243714e-05,0.0,0.0008132791317738643,1.7444778859828958e-05,0.0,0.002533888448529731,0.001127053882820086,0.0,0.0025332160163738897,0.0011270534862667218,0.0
23.5,0.000856157170016337,1.7783789913484726e-05,0.0,0.0008558706109463244,1.7783801741699132e-05,0.0,0.002671057800441652,0.0011857222072510958,0.0,0.002670385132720688,0.0011857221309200746,0.0
25.0,7.05392160333299e-06,5.0962276420879195e-08,0.0,7.023942412535843e-06,5.0963859831093306e-08,0.0,2.2229111358079045e-05,9.707430506385563e-06,0.0,2.2163383000996994e-05,9.707465600762735e-06,0.0
40.0,1.0937969745973501e-06,1.8222286770702484e-09,0.0,1.0713026755334436e-06,1.823603612324706e-09,0.0,3.4350555030355237e-06,1.4764608431251662e-06,0.0,3.385751365345389e-06,1.4764655767992038e-06,0.0
50.0,9.91756262629982e-07,1.6203686427999855e-09,0.0,9.711931996534083e-07,1.6216258577920761e-09,0.0,3.114831702741484e-06,1.3388167684943401e-06,0.0,3.0697663251990328e-06,1.3388187979448014e-06,0.0
60.0,9.10486401951151e-07,1.4625606223872485e-09,0.0,8.914991756907879e-07,1.4637216831106756e-09,0.0,2.8601308282153577e-06,1.229531596776447e-06,0.0,2.818523465833665e-06,1.229532000036401e-06,0.0
75.0,8.189701097494813e-07,1.2867247075991916e-09,0.0,8.017950453962346e-07,1.287775229117394e-09,0.0,2.573676263039374e-06,1.1068333952330686e-06,0.0,2.536045050144102e-06,1.1068326721250783e-06,0.0
90.0,7.481813685421423e-07,1.1519793493772912e-09,0.0,7.324374703132501e-07,1.1529424154640746e-09,0.0,2.352295992796307e-06,1.0121071582321272e-06,0.0,2.3178034704858777e-06,1.012106013632985e-06,0.0
99.5,7.098700615049729e-07,1.0794799743024093e-09,0.0,6.949118239031847e-07,1.0803949885317115e-09,0.0,2.2325418090131647e-06,9.60889401696832e-07,0.0,2.1997715474082346e-06,9.608881708165358e-07,0.0
99.75,0.0009035057723594705,2.2968379519423877e-05,0.0,0.0009033326581209781,2.2968396686477833e-05,0.0,0.0028245638913826023,0.0012536146673888878,0.0,0.0028241949069108692,0.0012536149954292834,0.0
100.0,0.0011042481856199328,2.4701242524621594e-05,0.0,0.0011039637133213795,2.4701257440403033e-05,0.0,0.0034502572841208666,0.0015295432606417323,0.0,0.003449621888212168,0.001529543583045069,0.0
100.25,0.0011227218268717784,2.4849536371645367e-05,0.0,0.0011224252762395061,2.4849551351772403e-05,0.0,0.0035088281060098245,0.0015546140689148764,0.0,0.0035081732906331645,0.0015546145382021078,0.0
100.5,0.0011090937617245337,2.473267735418347e-05,0.0,0.0011088032327250385,2.473269259417954e-05,0.0,0.0034666963968617453,0.0015355365723873505,0.0,0.0034660623272296494,0.0015355371127214127,0.0
110.0,2.1464071984588064e-06,3.4997667334311666e-09,0.0,2.101140426422137e-06,3.502533407723485e-09,0.0,6.73348933080391e-06,2.8932086599530445e-06,0.0,6.6343733286451445e-06,2.893217975432476e-06,0.0
120.0,1.961404806417513e-06,3.137652719903763e-09,0.0,1.9197004160798594e-06,3.140202618378759e-09,0.0,6.153608850108959e-06,2.644096211905696e-06,0.0,6.062307119563222e-06,2.6441005738769142e-06,0.0
140.0,1.70988581803502e-06,2.6545480924993242e-09,0.0,1.6732072528146832e-06,2.6567909852528836e-09,0.0,5.36691220999638e-06,2.307062262722324e-06,0.0,5.286629351829337e-06,2.30706251423205e-06,0.0
150.0,1.6060668566563157e-06,2.456774673561781e-09,0.0,1.5715352722932135e-06,2.4588867765089737e-09,0.0,5.0425727796734135e-06,2.168230338695681e-06,0.0,4.966990290787946e-06,2.1682294514377352e-06,0.0
156.5,1.5462605841255045e-06,2.34339889323726e-09,0.0,1.5129697328983727e-06,2.3454354383852327e-09,0.0,4.855815330220201e-06,2.0883570081113866e-06,0.0,4.78295013313475e-06,2.088355666706688e-06,0.0
156.75,0.00028287184462998674,6.58124452813952e-06,0.0,0.0002827835797805706,6.581250181523475e-06,0.0,0.0008842404858021476,0.00039164610459281303,0.0,0.0008840505545108292,0.0003916462412648851,0.0
157.0,0.0002963579266870132,6.696666060190289e-06,0.0,0.00029626151394069705,6.69667161452079e-06,0.0,0.0009265981671364682,0.00041022034536687186,0.0,0.0009263901278547388,0.00041022050302189523,0.0
157.25,0.00029705827796436393,6.701945656201483e-06,0.0,0.0002969591896269723,6.70195135036902e-06,0.0,0.0009287597674886862,0.00041116023862322316,0.0,0.0009285459335467055,0.00041116039998239404,0.0
157.5,0.00029713874867004096,6.701982772367574e-06,0.0,0.0002970373831582011,6.701988607124248e-06,0.0,0.0009289741025750177,0.0004112465896002632,0.0,0.0009287553550728372,0.00041124675245928914,0.0
160.0,1.973882495359901e-06,3.1782277398519346e-09,0.0,1.931964000484282e-06,3.1807899127187027e-09,0.0,6.196035915298577e-06,2.6643269202289368e-06,0.0,6.1042825201643924e-06,2.664329937552518e-06,0.0
170.0,1.8279857456971293e-06,2.7939238051819914e-09,0.0,1.7886619737707506e-06,2.7963285890688102e-09,0.0,5.739130629777853e-06,2.467967048397966e-06,0.0,5.653065807106211e-06,2.4679676490904388e-06,0.0
180.0,1.7259320006398143e-06,2.59974221495376e-09,0.0,1.688677103180962e-06,2.602020515589409e-09,0.0,5.4201834288146295e-06,2.3314687722759047e-06,0.0,5.338653998406178e-06,2.3314682832210276e-06,0.0
190.0,1.6399882753710713e-06,2.437551027581702e-09,0.0,1.6045159869087806e-06,2.4397206216386524e-09,0.0,5.1518195939248725e-06,2.216711913526994e-06,0.0,5.074194950994858e-06,2.216710906910678e-06,0.0
200.0,1.5664571658322864e-06,2.2996276234312833e-09,0.0,1.5325264293671242e-06,2.3017030410449e-09,0.0,4.9223290368869775e-06,2.118641764428003e-06,0.0,4.848080547828208e-06,2.118640593661441e-06,0.0
210.0,1.5027097958955936e-06,2.1807489619117148e-09,0.0,1.470126587712177e-06,2.1827421163887708e-09,0.0,4.723434534062258e-06,2.0336813414446356e-06,0.0,4.65213683415588e-06,2.0336802189301876e-06,0.0
212.5,1.487331567208809e-06,2.152150951982123e-09,0.0,1.4550868120242765e-06,2.1541223525046027e-09,0.0,4.675503490890336e-06,2.0132017336774314e-06,0.0,4.604945188337766e-06,2.0132006364575924e-06,0.0
213.0,0.00026008078728926133,5.940128373237318e-06,0.0,0.00025999441953261643,5.94013356163362e-06,0.0,0.0008130620399539925,0.000359963869527961,0.0,0.0008128759009454059,0.0003599640072102525,0.0
213.5,0.00026519146838162956,5.982834172584793e-06,0.0,0.0002650986286843403,5.982839539640656e-06,0.0,0.0008290482426967946,0.00036697186535176546,0.0,0.0008288478337511468,0.000366972012272528,0.0
215.0,1.917194969736804e-06,3.188062824630921e-09,0.0,1.8768862818692547e-06,3.190524700079822e-09,0.0,6.02322343670197e-06,2.5931260170730676e-06,0.0,5.935008481671411e-06,2.593129392793254e-06,0.0
220.0,1.8172990276496505e-06,2.705749911395428e-09,0.0,1.778111441062375e-06,2.7081472396299216e-09,0.0,5.709554230402705e-06,2.457302815488576e-06,0.0,5.623797982201658e-06,2.4573048895341542e-06,0.0
230.0,1.7273996258741117e-06,2.534872867175878e-09,0.0,1.6900192580040358e-06,2.5371582889457016e-09,0.0,5.428369338535272e-06,2.3368410101953717e-06,0.0,5.3465750397850746e-06,2.3368419284616646e-06,0.0
240.0,1.6516182347324386e-06,2.3920670664450457e-09,0.0,1.6158005195274967e-06,2.3942584658512256e-09,0.0,5.191597814613524e-06,2.2355127287488293e-06,0.0,5.11322649159736e-06,2.235513046769532e-06,0.0
250.0,1.5866239122016304e-06,2.270502186048174e-09,0.0,1.552163805554693e-06,2.272609735479351e-09,0.0,4.988653943424387e-06,2.1487298098284654e-06,0.0,4.913255805421171e-06,2.148729886812777e-06,0.0
260.0,1.5300462371440967e-06,2.1653734910333115e-09,0.0,1.496779392585036e-06,2.1674077732813588e-09,0.0,4.812058015661722e-06,2.0732511805073063e-06,0.0,4.739272661899115e-06,2.073251222512827e-06,0.0
266.5,1.4962975216569767e-06,2.1029247428482612e-09,0.0,1.4637516181401193e-06,2.104915583070933e-09,0.0,4.706758586591798e-06,2.028254022348319e-06,0.0,4.635550962960571e-06,2.028254102869253e-06,0.0
266.75,0.0002956863372058979,6.7996034233549325e-06,0.0,0.000295595024277031,6.79960902564225e-06,0.0,0.0009242140518091965,0.0004092035617137788,0.0,0.000924017529382982,0.0004092037157778859,0.0
267.0,0.00030399292748569507,6.870454121635058e-06,0.0,0.0003038956295207573,6.870459723683873e-06,0.0,0.0009502966422037004,0.0004206362413357263,0.0,0.0009500868926582627,0.0004206364097701318,0.0
267.25,0.0003043258841645814,6.872634126242191e-06,0.0,0.0003042260631612266,6.872639874132866e-06,0.0,0.0009513092102179134,0.0004210752574914399,0.0,0.0009510939873539699,0.0004210754280849533,0.0
267.5,0.0003044329001128914,6.872904347898777e-06,0.0,0.00030433070564308184,6.872910240917836e-06,0.0,0.0009516125717229829,0.00042120352459282327,0.0,0.000951392204418904,0.0004212036964030711,0.0
280.0,1.8327447460103467e-06,2.6573972910403733e-09,0.0,1.7930671041464327e-06,2.6598217272688023e-09,0.0,5.7611184294287906e-06,2.4810438879859596e-06,0.0,5.674300589336382e-06,2.4810465959534853e-06,0.0
300.0,1.6927053012180106e-06,2.3938372659297814e-09,0.0,1.6558771951538858e-06,2.3960888476599596e-09,0.0,5.323337690442636e-06,2.2936242860634743e-06,0.0,5.242765486714592e-06,2.2936256749882305e-06,0.0
310.0,1.632561047128256e-06,2.2817034394566975e-09,0.0,1.5970057968566427e-06,2.283877317977722e-09,0.0,5.135560004432718e-06,2.2132875998710697e-06,0.0,5.057772818453002e-06,2.2132886679545076e-06,0.0
315.0,1.6046307174646918e-06,2.2297942990417635e-09,0.0,1.5696694153264782e-06,2.2319322474839503e-09,0.0,5.0483816562779295e-06,2.176004427714019e-06,0.0,4.971894002452966e-06,2.176005409391255e-06,0.0
316.5,1.59643257996662e-06,2.2145870939651734e-09,0.0,1.5616490896662502e-06,2.216714753677488e-09,0.0,5.022809311096562e-06,2.1650689113883267e-06,0.0,4.946710298679753e-06,2.1650698732985826e-06,0.0
316.75,0.0003068948497732007,7.0295853510622005e-06,0.0,0.00030679869025724584,7.029591168613056e-06,0.0,0.0009592029347341367,0.00042464709624010286,0.0,0.000958995942152239,0.0004246472602148538,0.0
317.0,0.00031360658913842985,7.086714984381378e-06,0.0,0.00031350505372475994,7.086720836146863e-06,0.0,0.0009802727586368995,0.00043388110741555725,0.0,0.0009800539117541952,0.00043388128353988797,0.0
317.25,0.0003138667394093824,7.088274143328366e-06,0.0,0.0003137626512290778,7.088280146297649e-06,0.0,0.0009810579785146157,0.0004342210621224067,0.0,0.00098083358965225,0.0004342212399992966,0.0
317.5,0.0003139851770787549,7.088636770969067e-06,0.0,0.0003138786325715136,7.0886429259333515e-06,0.0,0.0009813987189619194,0.0004343662818820251,0.0,0.0009811689995449686,0.00043436646101386873,0.0
320.0,2.05017604553833e-06,3.015156648290575e-09,0.0,2.0059900156548444e-06,3.0178594654373913e-09,0.0,6.444471621736858e-06,2.775569552389247e-06,0.0,6.347785653616952e-06,2.7755752309711697e-06,0.0
330.0,1.9418883324151287e-06,2.783176744709479e-09,0.0,1.8997616120803789e-06,2.7857508201846835e-09,0.0,6.105229440868964e-06,2.6298381176290997e-06,0.0,6.013058384156813e-06,2.6298415340088535e-06,0.0
350.0,1.795914221657002e-06,2.5085095529664507e-09,0.0,1.7567863601207659e-06,2.510901772118221e-09,0.0,5.649003946350523e-06,2.4344853271287553e-06,0.0,5.563401464828619e-06,2.434487205063107e-06,0.0
360.0,1.732775852358863e-06,2.390552902826151e-09,0.0,1.6949562656440535e-06,2.392867638426421e-09,0.0,5.451771037496268e-06,2.3501044497756824e-06,0.0,5.369034377670731e-06,2.350105940456315e-06,0.0
375.0,1.6573188192004937e-06,2.251227100561517e-09,0.0,1.621076149987165e-06,2.2534431798116987e-09,0.0,5.216126732827587e-06,2.2493580151312057e-06,0.0,5.1368445425118354e-06,2.2493594358385473e-06,0.0
380.0,1.6336873850094074e-06,2.2078373571868017e-09,0.0,1.5979623614396575e-06,2.2100249061407487e-09,0.0,5.14243725028317e-06,2.217858550398636e-06,0.0,5.064286309426869e-06,2.217859976450279e-06,0.0
390.0,1.5914667324392441e-06,2.1305910635154406e-09,0.0,1.5566353166498084e-06,2.1327213220279145e-09,0.0,5.0106153068853385e-06,2.1615092613297283e-06,0.0,4.934421095777653e-06,2.1615107885569523e-06,0.0
400.0,1.5533292135774374e-06,2.061180473760997e-09,0.0,1.5193149754848285e-06,2.0632580593580783e-09,0.0,4.891570360569584e-06,2.1106200171060645e-06,0.0,4.817164457259949e-06,2.110621684585555e-06,0.0
410.0,1.5186003943965282e-06,1.9982556054934565e-09,0.0,1.4853321858157069e-06,2.0002889354971507e-09,0.0,4.783153162514954e-06,2.0642675134321817e-06,0.0,4.710379690541905e-06,2.0642693417785668e-06,0.0
