Time,pt0,pt1,pt2,pt3,pt4,pt5,pt6,pt7,pt8,pt9,pt10,pt11
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,-7.720478664950022e-19,7.111739576129336e-19,0.0,-1.5170684185877973e-18,2.1675732298600813e-19,0.0,1.869238912900252e-18,-3.7943315681638785e-19,0.0,8.668506186701501e-19,2.166783121726345e-19,0.0
0.1,-7.720478664950022e-19,7.111739576129336e-19,0.0,-1.5170684185877973e-18,2.1675732298600813e-19,0.0,1.869238912900252e-18,-3.7943315681638785e-19,0.0,8.668506186701501e-19,2.166783121726345e-19,0.0
0.2,0.00035035373998454036,2.4287910551852698e-05,0.0,0.0003502724610760759,2.4287972481323957e-05,0.0,0.001070977133634851,0.0004909763194510274,0.0,0.0010708162785199125,0.0004909763882985681,0.0
5.0,1.1817271412312444e-06,1.0146896338623425e-08,0.0,1.1810485591598422e-06,1.0146885494037338e-08,0.0,3.7363520123391443e-06,1.6387332237480146e-06,0.0,3.734852961112455e-06,1.6387372528138344e-06,0.0
10.0,5.974427334361851e-08,4.989467629691102e-10,0.0,5.96614864764174e-08,4.989492484185656e-10,0.0,1.8891083840710038e-07,8.278645880845717e-08,0.0,1.8872878184937359e-07,8.278685308056901e-08,0.0
15.0,5.182617363599421e-09,2.811119135243995e-11,0.0,5.134619631675212e-09,2.8113997874926732e-11,0.0,1.6364426502160105e-08,7.117954031542694e-09,0.0,1.6258957246295512e-08,7.118012739877654e-09,0.0
20.0,2.543369988244086e-09,5.335906192187461e-12,0.0,2.4972864211786368e-09,5.3387123359206e-12,0.0,8.017922951293767e-09,3.457836553470106e-09,0.0,7.916658146323118e-09,3.4578671147601518e-09,0.0
22.5,2.4208428656684198e-09,4.284316894225573e-12,0.0,2.374868428461869e-09,4.28712586591596e-12,0.0,7.630435800001482e-09,3.2879324182969673e-09,0.0,7.529410213717516e-09,3.2879608351632346e-09,0.0
22.75,0.00038171086191731373,1.3677459233258847e-05,0.0,0.0003816555454454703,1.367747837470176e-05,0.0,0.001189110743795074,0.0005321783346081289,0.0,0.0011889959595823758,0.0005321783955436273,0.0
23.0,0.0006491148052055721,1.6090198905697848e-05,0.0,0.0006489284985367286,1.609021271244557e-05,0.0,0.002020170298672664,0.0009007917191817996,0.0,0.0020197153070753288,0.0009007913421633209,0.0
23.25,0.0008127373997401941,1.7443621341576344e-05,0.0,0.0008124743755196327,1.7443633274508342e-05,0.0,0.0025313237754789704,0.0011259682348807145,0.0,0.002530684326525408,0.0011259678326752413,0.0
23.5,0.0008550628686508412,1.77825466751211e-05,0.0,0.0008547996744120249,1.7782557072189654e-05,0.0,0.0026676354158376614,0.0011842684385146953,0.0,0.002667013634805235,0.0011842683527609112,0.0
25.0,5.7645820568026255e-06,4.8776324927377904e-08,0.0,5.760870670893517e-06,4.877630329172367e-08,0.0,1.8180040751702074e-05,7.966294686911683e-06,0.0,1.817189611731697e-05,7.966317511226051e-06,0.0
40.0,1.4340924878346556e-08,2.6979109315474904e-11,0.0,1.4059714434675385e-08,2.6996288161044388e-11,0.0,4.5062439410683085e-08,1.9390913599546166e-08,0.0,4.444577685002165e-08,1.9391082475094796e-08,0.0
50.0,1.4000489478219888e-08,2.422491588984024e-11,0.0,1.3719955015515846e-08,2.424208235609312e-11,0.0,4.398853310939296e-08,1.892078501961107e-08,0.0,4.337335248499525e-08,1.8920948512410644e-08,0.0
60.0,1.3975916102231141e-08,2.416509543089212e-11,0.0,1.369577923270578e-08,2.418219787828478e-11,0.0,4.391094911045677e-08,1.888715992426018e-08,0.0,4.329664206385236e-08,1.888732217167571e-08,0.0
75.0,1.3941662308800398e-08,2.4096232452407655e-11,0.0,1.3662114680923745e-08,2.4113334786780536e-11,0.0,4.380280001497099e-08,1.884033049724437e-08,0.0,4.3189788027950867e-08,1.8840490809490815e-08,0.0
90.0,1.3907610357955933e-08,2.402786442497279e-11,0.0,1.3628651222797667e-08,2.404487107800621e-11,0.0,4.3695294910605235e-08,1.879377924075346e-08,0.0,4.308357616257995e-08,1.879393822046502e-08,0.0
99.5,1.3886120671011765e-08,2.3984731341237272e-11,0.0,1.3607534520012555e-08,2.400178009577108e-11,0.0,4.3627452616699406e-08,1.8764399509008373e-08,0.0,4.301655318332388e-08,1.876455715043761e-08,0.0
99.75,0.0009007194841808698,2.2953572075807982e-05,0.0,0.0009005682851692225,2.2953587963845788e-05,0.0,0.0028157649586315974,0.0012500284526892962,0.0,0.0028154449868154604,0.001250028765102174,0.0
100.0,0.0011028647303981058,2.469945681309874e-05,0.0,0.001102610361183206,2.4699469886695168e-05,0.0,0.0034458214317892415,0.0015279121321918367,0.0,0.0034452527290041684,0.001527912436904274,0.0
100.25,0.0011213981702347397,2.4850832550487394e-05,0.0,0.001121140756999179,2.4850845118562806e-05,0.0,0.0035045982681314114,0.0015530543636922444,0.0,0.0035040298893720245,0.0015530548149988482,0.0
100.5,0.0011071554021571239,2.4731857068601105e-05,0.0,0.0011069132423902294,2.473186933877659e-05,0.0,0.003460562253192532,0.0015331217566311212,0.0,0.0034600348497128668,0.0015331222753246856,0.0
110.0,3.108220359595989e-08,5.5324492601234694e-11,0.0,3.044895736286656e-08,5.536299326683773e-11,0.0,9.749836202836576e-08,4.1905786760157333e-08,0.0,9.611127775811382e-08,4.190614193949887e-08,0.0
120.0,3.078603620714084e-08,5.315884975280283e-11,0.0,3.015366795235929e-08,5.3197230879513394e-11,0.0,9.656494589260188e-08,4.1497662328937486e-08,0.0,9.517976857202793e-08,4.1498015240208095e-08,0.0
140.0,3.068383971870227e-08,5.2951675369262647e-11,0.0,3.005309297967512e-08,5.2990437826922535e-11,0.0,9.624254145283108e-08,4.135798863033824e-08,0.0,9.48609151020866e-08,4.1358337641698413e-08,0.0
150.0,3.0635495815552615e-08,5.285491371378518e-11,0.0,3.000576061789259e-08,5.289305466680916e-11,0.0,9.60903106899697e-08,4.1292202352191967e-08,0.0,9.471091141551711e-08,4.129254887691582e-08,0.0
156.5,3.0604726423557866e-08,5.2792722031500854e-11,0.0,2.997568718422381e-08,5.2831443265635986e-11,0.0,9.599348913566913e-08,4.125041887296145e-08,0.0,9.461562498893303e-08,4.125076310582042e-08,0.0
156.75,0.000281015735777064,6.577031706677404e-06,0.0,0.00028096262218031004,6.577035217787597e-06,0.0,0.0008783806814965419,0.0003892241087325304,0.0,0.0008782681816883129,0.00038922424110842237,0.0
157.0,0.00029461752264621613,6.693979751295097e-06,0.0,0.00029455849848382566,6.6939830194096075e-06,0.0,0.0009211018147405316,0.00040796255435860903,0.0,0.0009209761125631591,0.00040796270737911806,0.0
157.25,0.00029522700544241075,6.6992309844876935e-06,0.0,0.0002951676255926659,6.699234249192381e-06,0.0,0.0009229794252200545,0.0004087788352858922,0.0,0.0009228529992847454,0.00040877899098074754,0.0
157.5,0.00029519536272095445,6.6990694391963115e-06,0.0,0.000295136043702319,6.699072703181071e-06,0.0,0.0009228431127449848,0.000408712319377237,0.0,0.0009227168837710053,0.0004087124755801901,0.0
160.0,5.169998545209962e-08,1.9940068059402268e-10,0.0,5.0972040889472806e-08,1.994433904664934e-10,0.0,1.6235978560717208e-07,7.01958269528937e-08,0.0,1.607663246994254e-07,7.01963078493383e-08,0.0
170.0,3.521911500627237e-08,6.075242349338529e-11,0.0,3.449619653864482e-08,6.079686689821093e-11,0.0,1.1044255006845907e-07,4.745602092105312e-08,0.0,1.0885952373754831e-07,4.7456418797315004e-08,0.0
180.0,3.5134763616368886e-08,6.058562981349097e-11,0.0,3.4410764586970884e-08,6.063105591195553e-11,0.0,1.1017404432673123e-07,4.733785228686494e-08,0.0,1.0858850083297045e-07,4.733824697676575e-08,0.0
190.0,3.5077675474552323e-08,6.047197633434992e-11,0.0,3.4354663796966194e-08,6.0515479987851e-11,0.0,1.0999409320938471e-07,4.725996026321667e-08,0.0,1.0841072042179213e-07,4.726035461270022e-08,0.0
200.0,3.50208513024605e-08,6.03582970890545e-11,0.0,3.4298821586673694e-08,6.040172523300718e-11,0.0,1.0981498433161826e-07,4.7182432985149713e-08,0.0,1.0823375754660719e-07,4.718281998005596e-08,0.0
210.0,3.496424451187063e-08,6.02441445715764e-11,0.0,3.424319430719425e-08,6.028832726217115e-11,0.0,1.0963656891652038e-07,4.710521596847408e-08,0.0,1.0805749452376996e-07,4.710560179015198e-08,0.0
212.5,3.499408081146336e-08,6.029768876526737e-11,0.0,3.4276665100925033e-08,6.034214292182091e-11,0.0,1.0973488012432085e-07,4.7150944832236445e-08,0.0,1.0816400199651217e-07,4.715132303822681e-08,0.0
213.0,0.000258324792007424,5.936872949399526e-06,0.0,0.0002582743234323522,5.93687594611943e-06,0.0,0.0008074808874259013,0.0003576745552239217,0.0,0.000807373902803306,0.00035767468684147534,0.0
213.5,0.0002633329413574752,5.980156238884858e-06,0.0,0.00026328012012098284,5.980159158811614e-06,0.0,0.0008231469256245915,0.0003645457115813481,0.0,0.000823034674380601,0.00036454584923185376,0.0
215.0,2.3189418241460885e-05,6.200493277462638e-08,0.0,3.154446742699849e-05,6.14946351154224e-08,0.0,7.88935821121135e-05,3.9480881611586036e-05,0.0,9.793015849295188e-05,3.9477460538093014e-05,0.0
220.0,2.1062649808714286e-07,6.089052569697106e-10,0.0,3.098831527941199e-07,6.028359831599593e-10,0.0,7.216879169219275e-07,3.6854997183396217e-07,0.0,9.455707238460882e-07,3.6861622846509907e-07,0.0
230.0,9.72367790555677e-08,1.5865616421274977e-10,0.0,1.323955449383087e-07,1.56508761436172e-10,0.0,3.2710319676676425e-07,1.615167460582423e-07,0.0,4.066316193753189e-07,1.615180033489902e-07,0.0
240.0,9.682078932169056e-08,1.5793329721651295e-10,0.0,1.318365022711299e-07,1.557926528640095e-10,0.0,3.257030943273607e-07,1.6082774684986182e-07,0.0,4.0490979250652626e-07,1.608289505954905e-07,0.0
250.0,9.646375243700159e-08,1.5729512607075983e-10,0.0,1.3131509430916843e-07,1.5516651305663842e-10,0.0,3.244849265247052e-07,1.602103876346076e-07,0.0,4.033225572541019e-07,1.6021156004032168e-07,0.0
260.0,9.610914331986335e-08,1.5666193156117028e-10,0.0,1.3079715536650664e-07,1.5454315702965884e-10,0.0,3.232749752835783e-07,1.595971363418499e-07,0.0,4.017458414024144e-07,1.595982653779188e-07,0.0
266.5,9.591876499154027e-08,1.5630504525509157e-10,0.0,1.3048389684209325e-07,1.5419322584770736e-10,0.0,3.226116959968516e-07,1.5924618259766668e-07,0.0,4.008071324439302e-07,1.5924728408185297e-07,0.0
266.75,0.0003078622692749294,6.8164205440231135e-06,0.0,0.0003153213030090248,6.815964869361532e-06,0.0,0.0009674409983880771,0.0004324578193337108,0.0,0.0009843242713299285,0.00043245810687646166,0.0
267.0,0.00031773024536946163,6.894214387957074e-06,0.0,0.0003259584295459263,6.893711325794443e-06,0.0,0.000998913119531899,0.0004466779120276887,0.0,0.0010175281557190418,0.0004466783032152041,0.0
267.25,0.0003180822358599021,6.89680064422684e-06,0.0,0.0003264356773467536,6.8962899209313045e-06,0.0,0.0010000380111694822,0.0004472177722079885,0.0,0.0010189275573733159,0.0004472181107454493,0.0
267.5,0.000559738740923444,7.360905085683905e-06,0.0,0.0007273561823960392,7.3506609146033594e-06,0.0,0.0018180993615871006,0.0008671945970999527,0.0,0.0021861236807074174,0.000867254598221067,0.0
280.0,3.1283683038840037e-07,4.5207426283463264e-10,0.0,5.398309196448534e-07,4.382077914211813e-10,0.0,1.078337987047672e-06,5.669731122314932e-07,0.0,1.5776990163854665e-06,5.669481026904225e-07,0.0
300.0,3.085385542802114e-07,4.46043062716837e-10,0.0,5.339453914470421e-07,4.3228133612286783e-10,0.0,1.0642616618803161e-06,5.602615979724254e-07,0.0,1.5600609373888332e-06,5.601341883512798e-07,0.0
310.0,3.0769929570118247e-07,4.444613378471853e-10,0.0,5.317718664696625e-07,4.307799373712517e-10,0.0,1.0610652837830477e-06,5.582887444840243e-07,0.0,1.55394224183943e-06,5.581604620169703e-07,0.0
315.0,3.0811084482608356e-07,4.444875408859507e-10,0.0,5.311562601013024e-07,4.3086811889829353e-10,0.0,1.0618964540255376e-06,5.581746417150086e-07,0.0,1.5525226405221741e-06,5.580449612865268e-07,0.0
316.5,3.1302831310108037e-07,4.4910579549705345e-10,0.0,5.336726555146528e-07,4.356318034184901e-10,0.0,1.0761471902243323e-06,5.631588674735704e-07,0.0,1.5615084416805594e-06,5.630213275918305e-07,0.0
316.75,0.0003783790727036922,7.125296323930755e-06,0.0,0.0004232569141715094,7.122566848334501e-06,0.0,0.00120328843345433,0.0005503492155762111,0.0,0.0013019407214015745,0.0005501511082420072,0.0
317.0,0.0006146137425004503,7.458914402084825e-06,0.0,0.0005797469722129994,7.461048820312782e-06,0.0,0.0018999704736847724,0.0008091629274088397,0.0,0.0018233122473402643,0.0008090684319125887,0.0
317.25,0.001278352221887134,7.99686974526821e-06,0.0,0.0011897417369743563,8.002267572907901e-06,0.0,0.003934185486251681,0.0016480753162639442,0.0,0.003740395520174452,0.0016483937243217442,0.0
317.5,0.0010877300940279075,7.780669089624499e-06,0.0,0.0015140175138958583,7.754624387711933e-06,0.0,0.0035924741629640043,0.001752237267849011,0.0,0.004531790251829746,0.001752258344040073,0.0
320.0,4.9367672445532176e-05,5.18840621316771e-08,0.0,6.0369530764273526e-05,5.121109789179284e-08,0.0,0.00015859001503214777,7.269716450303034e-05,0.0,0.00018279907917416748,7.270861864828892e-05,0.0
330.0,2.768679013703641e-06,1.766693014637373e-09,0.0,2.5544447106902825e-06,1.7797814454110634e-09,0.0,8.294451367436986e-06,3.2965117020168305e-06,0.0,7.785064108236852e-06,3.296504579677034e-06,0.0
350.0,7.138617164712984e-07,5.469191585902457e-10,0.0,1.0630433167670136e-06,5.25581579895626e-10,0.0,2.3685419397388847e-06,1.1656158329968552e-06,0.0,3.1359351447383615e-06,1.1656433580262447e-06,0.0
360.0,5.894624530647543e-07,4.724920094698254e-10,0.0,9.703507769089737e-07,4.4921995947265727e-10,0.0,2.0085516007298183e-06,1.034880523398222e-06,0.0,2.847948401918537e-06,1.0349122924055246e-06,0.0
375.0,5.4819146517054e-07,4.47074203839288e-10,0.0,9.368581524964993e-07,4.2332436045081434e-10,0.0,1.8874842438343243e-06,9.89284620272718e-07,0.0,2.7446634444945797e-06,9.89319265307786e-07,0.0
380.0,5.445290922820124e-07,4.445203805719892e-10,0.0,9.324048927064047e-07,4.2082103123575607e-10,0.0,1.8762412288877909e-06,9.84447910851602e-07,0.0,2.7317896119215405e-06,9.844762833196415e-07,0.0
390.0,5.370631047809844e-07,4.3951866317982085e-10,0.0,9.249380766197514e-07,4.158168315149462e-10,0.0,1.8533215225877808e-06,9.748669237234834e-07,0.0,2.7089089482448784e-06,9.748999149647388e-07,0.0
400.0,5.37237208155496e-07,4.3925767347456576e-10,0.0,9.234391681433477e-07,4.1566075598675284e-10,0.0,1.853137879107391e-06,9.740332239176184e-07,0.0,2.70506274117634e-06,9.740614394322127e-07,0.0
410.0,5.357540497680343e-07,4.3808126301617517e-10,0.0,9.211374033017867e-07,4.145333832505938e-10,0.0,1.8481734880838735e-06,9.715482732894905e-07,0.0,2.698300188486772e-06,9.715764123246302e-07,0.0
