Time,pt0_ux,pt0_uy,pt0_uz,pt1_ux,pt1_uy,pt1_uz,pt2_ux,pt2_uy,pt2_uz,pt3_ux,pt3_uy,pt3_uz,pt4_ux,pt4_uy,pt4_uz,pt5_ux,pt5_uy,pt5_uz,pt6_ux,pt6_uy,pt6_uz,pt7_ux,pt7_uy,pt7_uz,pt8_ux,pt8_uy,pt8_uz,pt9_ux,pt9_uy,pt9_uz
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,-7.689256735813103e-20,1.3868129741881797e-19,2.8964461035827576e-25,-2.398279391612307e-20,2.7472861108523243e-19,1.18589062022183e-26,-1.082778842721792e-19,1.698273510720345e-19,1.6150964838404767e-25,7.060972338675865e-20,2.4030709668551873e-19,2.153429725803884e-25,-1.4150488118348727e-19,2.9307986966492104e-20,3.692645992048442e-25,-6.882680933237098e-20,1.5959212602669604e-19,-3.159683155893909e-26,-1.823661911618906e-19,1.3712195783975614e-19,-9.94961263305902e-22,-1.2455647676605695e-19,2.4752331574051884e-19,-4.5831969557943436e-21,-1.2371428584237444e-19,4.530911786308903e-20,8.097522748525808e-25,-7.5176384740211e-20,2.054973776213746e-19,1.8133531667856405e-25
0.2,-8.872943468592459e-07,6.044276551969993e-07,-2.0479856258547897e-12,8.871943162834064e-07,-6.045713717284067e-07,-2.0497432981303186e-12,-2.987068214297541e-06,1.392703181979301e-06,2.3776908129010632e-12,2.9873627327060124e-06,-1.3927618358119569e-06,2.3742412047433106e-12,1.979572347601731e-09,4.3970619491457874e-09,9.030299596613546e-15,2.1065374946328453e-09,4.336873818252623e-09,9.031681316757549e-15,2.043402439795443e-10,-9.458305124444585e-11,4.756308657937604e-09,-2.0452369125406956e-10,9.531035724669404e-11,4.757352627857925e-09,-4.541549662538577e-10,1.2871476516382504e-09,-6.406551545706764e-16,4.54074345062813e-10,-1.2889190190804203e-09,-6.420628230067789e-16
5.0,-3.7433041866967976e-06,1.8638157913958622e-06,-1.8642909155944654e-12,3.74351104052913e-06,-1.8636663877783267e-06,-1.8636754510965396e-12,-4.482856480652031e-06,2.0904094511529543e-06,1.7865583023433296e-12,4.483401233572828e-06,-2.090653408965277e-06,1.7867445375047978e-12,8.944637286157088e-09,1.988621202639567e-08,4.1213691854552e-14,9.530406455910945e-09,1.960904965326399e-08,4.122117721016181e-14,1.450169498463618e-09,-6.736698675853481e-10,2.1209696126946447e-08,-1.4516987372236186e-09,6.781322107430595e-10,2.121679388590616e-08,-2.0358350625062e-09,5.754099420545277e-09,-2.8661995749378397e-15,2.0355253046476773e-09,-5.762134368221834e-09,-2.8725710337833393e-15
10.0,-3.7574175993451848e-06,1.868318319410026e-06,-1.8377092154982803e-12,3.757619108279555e-06,-1.8681692668529366e-06,-1.837046277910261e-12,-4.4888954544458436e-06,2.0932250287779463e-06,1.7849578533911855e-12,4.489441451539988e-06,-2.0934693205586437e-06,1.7851523794204476e-12,9.026575192745157e-09,2.00694050118722e-08,4.160046027823636e-14,9.61833651661659e-09,1.9789082381558146e-08,4.160568156637827e-14,1.369429910816339e-09,-6.359924133569711e-10,2.139211080455509e-08,-1.3709619499857162e-09,6.403419549467244e-10,2.1399086686032187e-08,-2.0539404545693893e-09,5.804841008036849e-09,-2.8915874719014062e-15,2.0536264342369226e-09,-5.8129452801276356e-09,-2.898014662176807e-15
15.0,-3.764474655100576e-06,1.8698954570529968e-06,-1.8140832728811382e-12,3.7646706836112526e-06,-1.8697474656211786e-06,-1.813382481943979e-12,-4.491474196118596e-06,2.0944267829020784e-06,1.7845241169796349e-12,4.492020824586092e-06,-2.094671043357228e-06,1.78471939138362e-12,9.089100350209575e-09,2.0208186671311378e-08,4.1896831707552374e-14,9.684646007927985e-09,1.9925823022634447e-08,4.1900537193864746e-14,1.2874405362839113e-09,-5.977350161508675e-10,2.152826227587152e-08,-1.2889691696972632e-09,6.01968470002437e-10,2.1535104129129624e-08,-2.0675692374922916e-09,5.842960969068928e-09,-2.9106809198027832e-15,2.0672518715582442e-09,-5.851117314325821e-09,-2.917150063253469e-15
20.0,-3.7707705288231096e-06,1.8712393344451265e-06,-1.792378440439222e-12,3.770961672602241e-06,-1.871092422117937e-06,-1.7916434051448093e-12,-4.493737450099023e-06,2.09548154205777e-06,1.7841521648253376e-12,4.49428462357796e-06,-2.0957257877264122e-06,1.7843476794047764e-12,9.147804403528331e-09,2.0337520794622124e-08,4.2174925604803464e-14,9.746172781501049e-09,2.0053631846293028e-08,4.217767766926325e-14,1.2070995371997206e-09,-5.602456353172696e-10,2.165513199138037e-08,-1.2086222572162319e-09,5.64367250114235e-10,2.1661841301152037e-08,-2.080280344030095e-09,5.878506909804722e-09,-2.928486759242593e-15,2.079960026692045e-09,-5.886712140043776e-09,-2.934995233199168e-15
22.5,-3.773807386330778e-06,1.871885747404516e-06,-1.7819606634850249e-12,3.7739962334774064e-06,-1.8717393705936813e-06,-1.7812092934442986e-12,-4.494829106470456e-06,2.0959903128093687e-06,1.7839672074316688e-12,4.495376538089563e-06,-2.0962345588942895e-06,1.7841627981074996e-12,9.176422197525414e-09,2.0400350338957823e-08,4.231042245669975e-14,9.776000790375467e-09,2.0115807313008764e-08,4.23128159599593e-14,1.16737207312085e-09,-5.417073780275769e-10,2.1716792347551715e-08,-1.16889131224886e-09,5.45774154762705e-10,2.1723435909314464e-08,-2.086459018288104e-09,5.895784502549731e-09,-2.937141596064541e-15,2.0861373113737706e-09,-5.904013577002134e-09,-2.9436692368060565e-15
22.75,-6.135739608165039e-06,3.183963482088212e-06,-4.250451934395174e-12,6.135937551269512e-06,-3.1838694119403965e-06,-4.250870323749035e-12,-8.787166402338295e-06,4.097421462608625e-06,4.3332482116391176e-12,8.78818617315686e-06,-4.097824864390387e-06,4.331135520106134e-12,1.467353693901872e-08,3.261716228260265e-08,6.754578906268509e-14,1.5629956640902947e-08,3.216379168720402e-08,6.755373126593149e-14,2.0014244557854336e-09,-9.289412733754439e-10,3.481743547269835e-08,-2.0037557995293446e-09,9.356353822554177e-10,3.482808952440141e-08,-3.341117244384655e-09,9.445160151664809e-09,-4.704553939439769e-15,3.340593358975553e-09,-9.458319971257155e-09,-4.714993882619283e-15
23.0,-1.0093419462883588e-05,5.203804823912886e-06,-6.659573808918659e-12,1.0093798518141898e-05,-5.203602135042944e-06,-6.6598980783750355e-12,-1.3922846735664897e-05,6.492234310408462e-06,6.54221981598174e-12,1.3924479957319684e-05,-6.492901900812737e-06,6.53988617653874e-12,2.40310826900963e-08,5.341750159444305e-08,1.1061207180256074e-13,2.5597634708885438e-08,5.2675713375823575e-08,1.1063057838022034e-13,3.568421254403588e-09,-1.6569221706353277e-09,5.7044146435358085e-08,-3.5723101289810198e-09,1.668388436163626e-09,5.7062245863947395e-08,-5.472707567533193e-09,1.547142277281568e-08,-7.705940408709572e-15,5.4718547058460925e-09,-1.5492986202441934e-08,-7.72304458163194e-15
