Time,pt0_ux,pt0_uy,pt0_uz,pt1_ux,pt1_uy,pt1_uz,pt2_ux,pt2_uy,pt2_uz,pt3_ux,pt3_uy,pt3_uz,pt4_ux,pt4_uy,pt4_uz,pt5_ux,pt5_uy,pt5_uz,pt6_ux,pt6_uy,pt6_uz,pt7_ux,pt7_uy,pt7_uz,pt8_ux,pt8_uy,pt8_uz,pt9_ux,pt9_uy,pt9_uz,pt10_ux,pt10_uy,pt10_uz
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,1.3923852550544527e-17,-2.2031928183700892e-17,0.0,1.2218826479862372e-16,-6.78616137818056e-17,0.0,-1.2161166035831082e-16,6.170943370492247e-17,0.0,-1.0132903896133118e-17,-4.470617865001677e-18,0.0,3.0580065453906427e-16,-1.3576259781887273e-16,0.0,-2.8907030907302535e-16,1.4054220914927505e-16,0.0,1.0178146699765183e-16,-5.569663416420015e-17,0.0,-1.2184135926523987e-16,4.684892378330034e-17,0.0,-4.121626615942606e-18,4.1556565138419196e-19,8.586673228706271e-20,1.1475713107615188e-16,-5.5037257710485516e-17,1.8254493391568102e-19,-1.1560381982354685e-16,5.240700219470681e-17,1.360784222502345e-19
0.2,-2.4177543448255245e-08,3.7256814772160986e-08,0.0,-2.0270952444852682e-08,3.521220128361477e-08,0.0,1.671572056029045e-08,-2.6210581052099055e-08,0.0,1.6210735372131733e-10,3.433702029223611e-10,0.0,-3.8784220014907277e-07,1.6764795478212403e-07,0.0,3.5382393113187365e-07,-1.7908598166771425e-07,0.0,5.882945053727119e-11,3.374047750159348e-10,0.0,2.373144882838684e-10,2.731183997015483e-10,0.0,6.850583114901753e-09,-2.6907255439784292e-09,-1.5569854749782357e-10,-5.5999047551196656e-09,3.4138323213347676e-09,-3.3717735573369217e-10,5.38253267435989e-09,-2.3236994622894025e-09,-2.508997602733359e-10
5.0,1.7936184530472676e-07,-6.35805067998199e-08,0.0,-7.875676589712718e-07,5.954443633367756e-07,0.0,7.821650513937121e-07,-5.856281187863169e-07,0.0,1.870545760636608e-09,3.939302860285121e-09,0.0,-1.8046070842039652e-06,8.35615540573998e-07,0.0,1.7497744263697645e-06,-8.219638717671334e-07,0.0,6.553559047048323e-10,3.9288194958880806e-09,0.0,2.6093284979694776e-09,3.026401262557063e-09,0.0,3.8028778163810585e-08,-1.3715250882137368e-08,5.478938473409826e-09,-6.383211750764409e-08,3.625000427467501e-08,3.786131076906502e-09,6.549390112815986e-08,-2.8878720053705628e-08,4.511997107346113e-09
10.0,1.3825240596607578e-07,-5.0416173068644965e-08,0.0,-1.2615855356770098e-06,8.037726815515699e-07,0.0,1.2477958995254448e-06,-7.911035992819553e-07,0.0,3.1629809506928528e-09,6.7071375290179245e-09,0.0,-2.153291772410617e-06,9.969588314678305e-07,0.0,2.0979203848406706e-06,-9.858400900996618e-07,0.0,1.162795258440358e-09,6.647052815678469e-09,0.0,4.349790774986906e-09,5.1768927080298065e-09,0.0,3.8190367001718955e-08,-1.3496525774203503e-08,9.073054043173873e-09,-6.730566102053182e-08,3.843776312632857e-08,6.820839540067404e-09,6.957247449292744e-08,-3.076292031586675e-08,8.018847124512139e-09
15.0,1.106099298882213e-07,-3.930184437525127e-08,0.0,-1.5159786369022014e-06,9.012871618824084e-07,0.0,1.4988755767200088e-06,-8.87522108012461e-07,0.0,4.309830495041052e-09,9.31724762753888e-09,0.0,-2.320232391351407e-06,1.0747048074019392e-06,0.0,2.2664773935990576e-06,-1.0645040892498398e-06,0.0,1.6519113842817975e-09,9.129239273032187e-09,0.0,5.869783953657918e-09,7.211578044336374e-09,0.0,2.987123358954983e-08,-9.957815171925916e-09,1.1747863736555935e-08,-5.2679630771201886e-08,3.1173965273694607e-08,9.459699981219055e-09,5.568440585324811e-08,-2.457367859142139e-08,1.0661457716104188e-08
20.0,9.223775174429748e-08,-3.1560998254250326e-08,0.0,-1.6798303647171735e-06,9.6110782074085e-07,0.0,1.6630611864095352e-06,-9.475920603614935e-07,0.0,5.699857965575452e-09,1.1888404018015764e-08,0.0,-2.4264280539372557e-06,1.1245571696942627e-06,0.0,2.3745695335301283e-06,-1.1145147358105346e-06,0.0,2.3131876575570224e-09,1.1520366374247537e-08,0.0,7.194108627408494e-09,9.331510947920363e-09,0.0,1.937475535779873e-08,-5.651590022802769e-09,1.41270501195743e-08,-3.144990445046523e-08,2.0447790028732676e-08,1.2140449068679333e-08,3.508502621589603e-08,-1.5369679634007253e-08,1.2988834980936011e-08
22.5,8.505920677469726e-08,-2.8513602357669537e-08,0.0,-1.744632808005973e-06,9.84659542522028e-07,0.0,1.7281938065210521e-06,-9.71315106950064e-07,0.0,6.590665279080297e-09,1.3154603698724772e-08,0.0,-2.468925588932302e-06,1.1445357597497076e-06,0.0,2.41792473955256e-06,-1.1345489781081078e-06,0.0,2.7232885775557866e-09,1.2646607434180663e-08,0.0,7.757133493206259e-09,1.0404941291550617e-08,0.0,1.4210146920476977e-08,-3.5770699953931867e-09,1.529016897303211e-08,-2.0270749762047567e-08,1.4768092673690636e-08,1.3533002880689653e-08,2.414223636232592e-08,-1.0487500499472145e-08,1.4119437432259375e-08
22.75,1.6428387296672286e-07,-2.602348335807676e-08,0.0,-1.93703400517683e-06,1.2059242498298034e-06,0.0,1.9060068031695542e-06,-1.172942230119695e-06,0.0,7.3176345815799e-09,1.4674157198095165e-08,0.0,-3.5687438872385625e-06,1.6453396496244628e-06,0.0,3.4597927348804065e-06,-1.6322826001811837e-06,0.0,2.991782836660758e-09,1.4133199675367644e-08,0.0,8.734996531486303e-09,1.1597222043366905e-08,0.0,3.271720580991802e-08,-1.0233259641429288e-08,1.577690196316648e-08,-4.223281202369671e-08,2.819045514986526e-08,1.325846061265093e-08,4.6114189885629634e-08,-2.00140554006708e-08,1.4250334545562123e-08
