Time,pt0_sigxx,pt0_sigyy,pt0_sigzz,pt0_sigxy,pt0_sigyz,pt0_sigxz,pt1_sigxx,pt1_sigyy,pt1_sigzz,pt1_sigxy,pt1_sigyz,pt1_sigxz,pt2_sigxx,pt2_sigyy,pt2_sigzz,pt2_sigxy,pt2_sigyz,pt2_sigxz,pt3_sigxx,pt3_sigyy,pt3_sigzz,pt3_sigxy,pt3_sigyz,pt3_sigxz
0.0,-5500000.000000002,-6500000.000000005,-2800000.0000000023,0.0,0.0,0.0,-5999999.999999998,-6999999.999999999,-3299999.999999998,0.0,0.0,0.0,-6000000.000000002,-7000000.000000003,-3300000.0000000005,0.0,0.0,0.0,-5499999.999999997,-6499999.999999997,-2799999.999999998,0.0,0.0,0.0
0.05,-5500000.001680124,-6500000.001985598,-2800000.000000001,-1.9344744921992393e-09,0.0,0.0,-6000000.001832855,-7000000.002138331,-3299999.999999999,0.0,0.0,0.0,-6000000.00183286,-7000000.002138337,-3300000.000000001,0.0,0.0,0.0,-5500000.001680116,-6500000.001985595,-2799999.999999998,-1.934474492199237e-09,0.0,0.0
0.1,-5500000.003447194,-6500000.003972475,-2799999.9999542544,5.2538208171913786e-05,-1.5269382662897944e-07,1.5332050102217174e-07,-6000000.003665711,-7000000.004276664,-3299999.999999999,2.4695419049351964e-10,0.0,0.0,-6000000.003665715,-7000000.004276669,-3300000.000000001,2.4695419049351985e-10,0.0,0.0,-5500000.003360235,-6500000.003971189,-2799999.9999999963,-1.934474492199237e-09,0.0,0.0
0.2,-5383503.68757551,-6501758.3015889665,-2859172.6118181124,-72256.56572733869,144.0791983590248,-240.07086573472907,-5998017.746024296,-7000766.063082552,-3299447.3481839644,-1213.624215253289,-3.7552334466411756,-3.0740055277373637,-5998426.050873101,-7000251.969704796,-3299510.6513957903,-1053.8952077975825,-3.4949636135313265,-0.7832353047621667,-5499999.691432574,-6499999.915913436,-2800000.2697676825,0.08335275561282518,0.001074846734071323,0.006240179937330063
5.0,-5374096.254050615,-6512620.516860403,-2856643.765048788,-83152.13295445265,-44.32667438676975,-252.07320817698172,-6000833.170868974,-7015080.01488737,-3302801.373467118,8022.962825843902,-28.89122310426351,37.46999505985607,-6000842.852974719,-7014885.197907671,-3302782.054725084,7856.5296680418405,-1.7079667747766,4.936210999215425,-5500000.205123347,-6499997.3453185605,-2800002.1481632534,1.5318317565501562,0.17234427247384584,0.036127735934438236
10.0,-5369521.954353005,-6513842.34249415,-2858313.1216657744,-86452.69638432871,-22.927329433705722,-164.4861361638599,-6008847.452265924,-7016945.479833534,-3305279.5159233944,10040.928987075757,-22.256025205510767,23.50435224175032,-6008752.208515456,-7016806.674923795,-3305182.3346785875,9833.346357088554,-2.5142063790162528,5.389671460862379,-5500005.247080999,-6499994.671761201,-2800001.6055665626,5.6238954989966095,0.27694278374552084,-0.004213451724314594
15.0,-5366766.952167608,-6514423.538801653,-2859407.443560242,-88398.038553339,-18.792739905897804,-133.87179192515853,-6012098.349311596,-7017330.43049817,-3306344.1136973714,10060.506975486533,-20.27120379297977,22.60136986402086,-6011895.683719843,-7017191.241686033,-3306254.955646034,9825.321805115154,-2.9124778904999085,5.515432430858936,-5500016.928165994,-6499991.421322317,-2799998.1116688405,14.33887797831219,0.49536572867394124,0.3189079933275753
20.0,-5364873.692053212,-6514783.090366574,-2860182.8284862004,-89720.15337987497,-18.272569175919102,-119.3498124925579,-6013630.417514778,-7017386.867140345,-3306896.2293955632,9768.897351278085,-19.308250263203817,22.88608860155082,-6013420.060088926,-7017251.2932379395,-3306830.709810031,9538.15555546863,-3.0481699502089405,5.464112035164261,-5500034.332910969,-6499987.520082466,-2799992.099240903,27.682551173565912,0.6749356485819488,0.859682066480088
22.5,-5364101.439672082,-6514925.113205895,-2860501.6882252786,-90257.2360914785,-18.246873261553006,-114.48490103449177,-6014128.955193259,-7017377.531101844,-3307088.762834508,9621.28342969946,-18.943199826136436,22.945654897640406,-6013921.24692516,-7017244.281438843,-3307031.558607195,9394.792234999199,-3.071346005913567,5.416151570468996,-5500048.807371073,-6499984.8020908795,-2799986.5743020778,38.450234315417504,0.7381310246191503,1.078513364907377
22.75,-5219006.595844678,-6526526.584675695,-2927286.185988524,-185179.4954435037,-126.1450928473007,-663.5713875710735,-6008064.780219236,-7024967.605738686,-3306029.8763919813,10118.79667809701,-61.654928596051576,92.0613310667195,-6007841.047120998,-7023831.122857946,-3306130.4811122147,9420.42341568593,-9.242063474612696,11.26175841310935,-5500050.30845181,-6499983.7566215545,-2799986.6906079054,40.30382713176788,0.7617528837707211,1.119900668061818
