Time,pt0_sigxx,pt0_sigyy,pt0_sigzz,pt0_sigxy,pt0_sigyz,pt0_sigxz,pt1_sigxx,pt1_sigyy,pt1_sigzz,pt1_sigxy,pt1_sigyz,pt1_sigxz,pt2_sigxx,pt2_sigyy,pt2_sigzz,pt2_sigxy,pt2_sigyz,pt2_sigxz,pt3_sigxx,pt3_sigyy,pt3_sigzz,pt3_sigxy,pt3_sigyz,pt3_sigxz,pt4_sigxx,pt4_sigyy,pt4_sigzz,pt4_sigxy,pt4_sigyz,pt4_sigxz,pt5_sigxx,pt5_sigyy,pt5_sigzz,pt5_sigxy,pt5_sigyz,pt5_sigxz,pt6_sigxx,pt6_sigyy,pt6_sigzz,pt6_sigxy,pt6_sigyz,pt6_sigxz,pt7_sigxx,pt7_sigyy,pt7_sigzz,pt7_sigxy,pt7_sigyz,pt7_sigxz,pt8_sigxx,pt8_sigyy,pt8_sigzz,pt8_sigxy,pt8_sigyz,pt8_sigxz,pt9_sigxx,pt9_sigyy,pt9_sigzz,pt9_sigxy,pt9_sigyz,pt9_sigxz,pt10_sigxx,pt10_sigyy,pt10_sigzz,pt10_sigxy,pt10_sigyz,pt10_sigxz
0.0,-5500000.000000002,-6500000.000000005,-2800000.0000000023,0.0,0.0,0.0,-5999999.999999998,-6999999.999999999,-3299999.999999998,0.0,0.0,0.0,-6000000.000000002,-7000000.000000003,-3300000.0000000005,0.0,0.0,0.0,-5499999.999999997,-6499999.999999997,-2799999.999999998,0.0,0.0,0.0,-6000000.000000001,-7000000.000000003,-3300000.000000001,0.0,0.0,0.0,-5999999.999999996,-6999999.999999996,-3299999.9999999977,0.0,0.0,0.0,-6000000.000000003,-7000000.000000005,-3300000.0000000014,0.0,0.0,0.0,-6000000.000000003,-7000000.000000004,-3300000.000000001,0.0,0.0,0.0,-5500000.000000002,-6500000.000000006,-2800000.000000003,0.0,0.0,0.0,-5676470.588235294,-6676470.588235295,-2976470.5882352944,0.0,0.0,0.0,-5694444.444444445,-6694444.444444446,-2994444.444444446,0.0,0.0,0.0
0.05,-5500000.001680124,-6500000.001985598,-2800000.000000001,-1.9344744921992393e-09,0.0,0.0,-6000000.001832855,-7000000.002138331,-3299999.999999999,0.0,0.0,0.0,-6000000.00183286,-7000000.002138337,-3300000.000000001,0.0,0.0,0.0,-5500000.001680116,-6500000.001985595,-2799999.999999998,-1.934474492199237e-09,0.0,0.0,-6000000.00183286,-7000000.002138336,-3300000.0000000014,0.0,0.0,0.0,-6000000.001832853,-7000000.00213833,-3299999.999999998,0.0,0.0,0.0,-6000000.001832861,-7000000.002138338,-3300000.0000000023,0.0,0.0,0.0,-6000000.001832862,-7000000.002138337,-3300000.0000000023,0.0,0.0,0.0,-5500000.001680124,-6500000.0019856,-2800000.0000000014,-1.9344744921992398e-09,0.0,0.0,-5676470.589969325,-6676470.590274803,-2976470.5882352944,-1.251718789070096e-09,0.0,0.0,-5694444.446183965,-6694444.446489445,-2994444.4444444445,-1.1821788563439798e-09,0.0,0.0
0.1,-5500000.003447194,-6500000.003972475,-2799999.9999542544,5.2538208171913786e-05,-1.5269382662897944e-07,1.5332050102217174e-07,-6000000.003665711,-7000000.004276664,-3299999.999999999,2.4695419049351964e-10,0.0,0.0,-6000000.003665715,-7000000.004276669,-3300000.000000001,2.4695419049351985e-10,0.0,0.0,-5500000.003360235,-6500000.003971189,-2799999.9999999963,-1.934474492199237e-09,0.0,0.0,-6000000.003665715,-7000000.004276669,-3300000.0000000014,2.469541904935198e-10,0.0,0.0,-6000000.00366571,-7000000.004276661,-3299999.9999999986,2.4695419049351954e-10,0.0,0.0,-6000000.003665718,-7000000.0042766705,-3300000.0000000023,2.469541904935199e-10,0.0,0.0,-6000000.003665718,-7000000.0042766705,-3300000.0000000023,2.469541904935199e-10,0.0,0.0,-5500000.003360244,-6500000.003971195,-2800000.000000001,-1.9344744921992398e-09,0.0,0.0,-5676470.591703351,-6676470.5923143,-2976470.5882352944,-1.1645584865429714e-09,0.0,0.0,-5694444.447923482,-6694444.448534431,-2994444.4444444445,-1.086141115596499e-09,0.0,0.0
0.2,-5383503.68757551,-6501758.3015889665,-2859172.6118181124,-72256.56572733869,144.0791983590248,-240.07086573472907,-5998017.746024296,-7000766.063082552,-3299447.3481839644,-1213.624215253289,-3.7552334466411756,-3.0740055277373637,-5998426.050873101,-7000251.969704796,-3299510.6513957903,-1053.8952077975825,-3.4949636135313265,-0.7832353047621667,-5499999.691432574,-6499999.915913436,-2800000.2697676825,0.08335275561282518,0.001074846734071323,0.006240179937330063,-6016219.397666063,-6998784.221213944,-3304688.6951542716,7958.928924650975,-42.895205895935625,51.12811833377749,-6012594.666279788,-7001207.484619151,-3303446.2577387663,9271.03729022176,34.21549291575978,24.949333806490294,-5999990.118356823,-6999994.1286562765,-3299996.15188808,0.09654704067588023,0.0052854137961350035,0.007480151499552619,-5999992.33132362,-6999991.684658478,-3299996.2214785526,-1.6823920234520435,0.0009509575673905219,0.002421262267384047,-5499808.180856992,-6500012.2864499055,-2800087.8900142973,-157.23125635583503,11.571333749353403,-24.429642557984373,-5676008.506517895,-6676548.431232922,-2976702.066097992,-340.8828984922871,3.405627141508491,-1.5430214270150429,-5694692.848979574,-6694429.704251806,-2994368.471945365,132.80247370022698,-7.83151265776912,15.317259301339062
5.0,-5374096.254050615,-6512620.516860403,-2856643.765048788,-83152.13295445265,-44.32667438676975,-252.07320817698172,-6000833.170868974,-7015080.01488737,-3302801.373467118,8022.962825843902,-28.89122310426351,37.46999505985607,-6000842.852974719,-7014885.197907671,-3302782.054725084,7856.5296680418405,-1.7079667747766,4.936210999215425,-5500000.205123347,-6499997.3453185605,-2800002.1481632534,1.5318317565501562,0.17234427247384584,0.036127735934438236,-6040692.580741288,-7011839.508052429,-3310538.6762496745,16177.641223182582,-4.905729990177819,-1.0655631844183318,-6037869.752445964,-7011886.520008563,-3309331.2756562904,16424.92093549734,16.66618787040008,5.808974063856109,-5999883.796573326,-6999928.231279403,-3299955.6007421,0.7905014554955788,0.09482394958599043,0.03262601046442837,-5999909.518982495,-6999901.602671249,-3299956.0469596097,-21.99530119453186,0.07609936481194206,-0.003929977821998091,-5496802.243295659,-6500333.838001373,-2801417.544454881,-2280.2450973574573,40.75630505654365,-88.0171834678903,-5674130.80659556,-6676970.754870839,-2977716.296738844,-1788.9080754130152,-80.05167237572084,168.1805892067847,-5695644.871761758,-6694485.6469525825,-2994166.4573187996,564.9130480468361,37.32684887718075,-107.26948616741535
10.0,-5369521.954353005,-6513842.34249415,-2858313.1216657744,-86452.69638432871,-22.927329433705722,-164.4861361638599,-6008847.452265924,-7016945.479833534,-3305279.5159233944,10040.928987075757,-22.256025205510767,23.50435224175032,-6008752.208515456,-7016806.674923795,-3305182.3346785875,9833.346357088554,-2.5142063790162528,5.389671460862379,-5500005.247080999,-6499994.671761201,-2800001.6055665626,5.6238954989966095,0.27694278374552084,-0.004213451724314594,-6041997.969463441,-7014340.132610957,-3311157.396182987,15404.597401008747,0.04194785329151216,-5.010845681188383,-6039305.587073112,-7014424.708657859,-3309996.704677415,15810.007857815577,13.439264883421528,2.3882878943080486,-5999791.696555967,-6999875.470207583,-3299920.5817283634,1.2016383784124645,0.14735208499289346,0.07324523126492678,-5999840.337935758,-6999824.937080138,-3299920.1400446915,-41.620248120962025,0.1399379574149411,0.02233156616814544,-5496502.374407766,-6500389.949655685,-2801536.4756495813,-2450.683242207639,43.04568272910385,-91.30540170533537,-5674304.383375266,-6676971.782744418,-2977609.624305122,-1663.1531946842724,-128.32659244220324,258.41652802541523,-5695699.502450793,-6694502.431155529,-2994125.214897314,591.1685787190784,83.8564642445503,-200.5041857874329
15.0,-5366766.952167608,-6514423.538801653,-2859407.443560242,-88398.038553339,-18.792739905897804,-133.87179192515853,-6012098.349311596,-7017330.43049817,-3306344.1136973714,10060.506975486533,-20.27120379297977,22.60136986402086,-6011895.683719843,-7017191.241686033,-3306254.955646034,9825.321805115154,-2.9124778904999085,5.515432430858936,-5500016.928165994,-6499991.421322317,-2799998.1116688405,14.33887797831219,0.49536572867394124,0.3189079933275753,-6041580.472195344,-7015093.865005879,-3311322.2600889197,14706.18899577778,1.5788744148686162,-5.890644940256408,-6039005.066054012,-7015209.732629102,-3310207.272733894,15156.813446364615,12.11161399559526,1.3219641529005473,-5999698.765477528,-6999821.713109161,-3299887.1801989526,1.8973261350938386,0.459893126204786,-0.17598426744504667,-5999770.378896303,-6999746.489838483,-3299885.9135745307,-61.37514287289893,0.400181314484999,-0.015658070181844144,-5497214.082181786,-6500322.127428524,-2801213.6795430062,-1937.9205035047794,41.917326771427526,-86.565867381654,-5675001.493813994,-6676836.550136668,-2977203.364209482,-1136.4231735848546,-148.27369883225614,296.04482420511454,-5695491.571878108,-6694479.74856488,-2994120.1361517925,497.6906702256035,112.78184764003181,-251.4030900325491
20.0,-5364873.692053212,-6514783.090366574,-2860182.8284862004,-89720.15337987497,-18.272569175919102,-119.3498124925579,-6013630.417514778,-7017386.867140345,-3306896.2293955632,9768.897351278085,-19.308250263203817,22.88608860155082,-6013420.060088926,-7017251.2932379395,-3306830.709810031,9538.15555546863,-3.0481699502089405,5.464112035164261,-5500034.332910969,-6499987.520082466,-2799992.099240903,27.682551173565912,0.6749356485819488,0.859682066480088,-6040900.606630515,-7015364.384700594,-3311392.6484516347,14171.790839210787,2.066503026510735,-5.982576009797457,-6038442.441185596,-7015486.032155901,-3310314.206699079,14625.193722017726,11.388611528589974,0.9444644886460452,-5999590.101549397,-6999769.460227714,-3299847.540943634,5.095152478195021,0.7570632728303731,-0.4862524989680937,-5999696.834014501,-6999657.129262727,-3299846.191708598,-88.85114172577842,0.6166778094797529,0.012032968466351742,-5498269.132491377,-6500207.834793905,-2800743.201008769,-1201.3230835425404,40.85142511848632,-82.3681495372131,-5675838.589474885,-6676651.8416062705,-2976710.485118303,-501.3758960942002,-150.52345080694693,299.56209124129947,-5695246.083250847,-6694428.049506356,-2994101.252763145,399.5646413977777,126.42985208984899,-271.43738434668916
22.5,-5364101.439672082,-6514925.113205895,-2860501.6882252786,-90257.2360914785,-18.246873261553006,-114.48490103449177,-6014128.955193259,-7017377.531101844,-3307088.762834508,9621.28342969946,-18.943199826136436,22.945654897640406,-6013921.24692516,-7017244.281438843,-3307031.558607195,9394.792234999199,-3.071346005913567,5.416151570468996,-5500048.807371073,-6499984.8020908795,-2799986.5743020778,38.450234315417504,0.7381310246191503,1.078513364907377,-6040560.838896637,-7015430.766583845,-3311416.59999007,13946.49501084387,2.1632476907140386,-5.9374555764717325,-6038155.258985288,-7015553.680140629,-3310353.8113607997,14398.505980925505,11.122941512051966,0.8498991781659744,-5999525.829091479,-6999743.858264212,-3299823.369524043,4.7555643786322435,0.8407612366990319,-0.6275763138186489,-5999654.296883105,-6999608.883186824,-3299822.2808348374,-107.99721862768584,0.674586339761987,0.014877907544886153,-5498818.999550078,-6500146.40089508,-2800499.045577852,-820.7891776306047,40.604461332087325,-81.14326463827288,-5676251.66404423,-6676555.21262016,-2976464.381559263,-187.30829504118847,-147.43748264343816,292.9091853555516,-5695136.081249971,-6694395.590707363,-2994083.1031864686,361.41312016828914,128.87055145852545,-273.2625885414114
22.75,-5219006.595844678,-6526526.584675695,-2927286.185988524,-185179.4954435037,-126.1450928473007,-663.5713875710735,-6008064.780219236,-7024967.605738686,-3306029.8763919813,10118.79667809701,-61.654928596051576,92.0613310667195,-6007841.047120998,-7023831.122857946,-3306130.4811122147,9420.42341568593,-9.242063474612696,11.26175841310935,-5500050.30845181,-6499983.7566215545,-2799986.6906079054,40.30382713176788,0.7617528837707211,1.119900668061818,-6075082.530679285,-7020258.067695066,-3319276.334655864,29577.073853143298,-24.484034525354996,10.064481565729952,-6068325.984184559,-7021745.42716782,-3316884.805297376,30775.13272565008,41.99202696176101,18.646399841415953,-5999478.689819385,-6999716.639942435,-3299805.260389061,4.764906292513407,0.8876175753751671,-0.6329522835021586,-5999618.231121147,-6999570.028967904,-3299804.577733125,-117.3996420674137,0.7062944064951584,0.016182862892601572,-5497996.522721252,-6500197.152560765,-2800878.1106198616,-1487.6328119647164,67.09431115013561,-137.48664420993057,-5674996.850588674,-6676777.733431848,-2977107.3328009257,-1133.1573484577902,-148.25662081410667,311.97056946931855,-5695740.936937615,-6694371.981411416,-2993917.9558536564,655.015928209014,113.01073305567472,-250.64258056430995
